

STC-GDMA-BPSK system
Number of users: 3

-

SNR[dB] = 0.0, BER = 1.969307e-01
SNR[dB] = 2.0, BER = 1.553233e-01
SNR[dB] = 4.0, BER = 1.118525e-01
SNR[dB] = 6.0, BER = 7.275667e-02
SNR[dB] = 8.0, BER = 4.212317e-02
SNR[dB] = 10.0, BER = 2.213917e-02
SNR[dB] = 12.0, BER = 1.041217e-02
SNR[dB] = 14.0, BER = 4.589167e-03
SNR[dB] = 16.0, BER = 1.858833e-03
SNR[dB] = 18.0, BER = 7.420000e-04
SNR[dB] = 20.0, BER = 3.060000e-04




