STC-GDMA-BPSK system
Number of users: 2

-

SNR[dB] = 0.0, BER = 1.505653e-01
SNR[dB] = 5.0, BER = 5.286914e-02
SNR[dB] = 10.0, BER = 1.004558e-02
SNR[dB] = 15.0, BER = 1.265457e-03
SNR[dB] = 20.0, BER = 1.349395e-04
SNR[dB] = 25.0, BER = 1.392550e-05
SNR[dB] = 30.0, BER = 1.385500e-06
SNR[dB] = 35.0, BER = 1.345000e-07
SNR[dB] = 40.0, BER = 1.200000e-08


1.505653e-01, 5.286914e-02, 1.004558e-02, 1.265457e-03, 1.349395e-04, 1.392550e-05, 1.385500e-06, 1.345000e-07, 1.200000e-08, 
