STC-GDMA-BPSK system
Number of users: 1

-

SNR[dB] = 0.0, BER = 1.150036e-01
SNR[dB] = 5.0, BER = 3.283545e-02
SNR[dB] = 10.0, BER = 5.533150e-03
SNR[dB] = 15.0, BER = 6.840500e-04
SNR[dB] = 20.0, BER = 7.525000e-05
SNR[dB] = 25.0, BER = 7.150000e-06
SNR[dB] = 30.0, BER = 8.500000e-07
SNR[dB] = 35.0, BER = 5.000000e-08
SNR[dB] = 40.0, BER = 0.000000e+00


1.150036e-01, 3.283545e-02, 5.533150e-03, 6.840500e-04, 7.525000e-05, 7.150000e-06, 8.500000e-07, 5.000000e-08, 0.000000e+00, 
